dataset,scanner_label,image_name,mean_intensity,std_intensity,fft_feature,lbp_mean,lbp_std,noise_variance
Flatfield,Canon120-1-20251207T055142Z-3-001,150.tif,254.9993935,0.072684165,288.5134152,7.97410965,0.276581273,0.003238634
Flatfield,Canon120-1-20251207T055142Z-3-001,300.tif,254.9990082,0.127832623,314.690201,7.973873138,0.277027611,0.010497995
Flatfield,Canon120-2-20251207T055143Z-3-001,150.tif,254.6019821,8.598936115,1106.366203,7.962688446,0.347008568,23.111649
Flatfield,Canon120-2-20251207T055143Z-3-001,300.tif,254.6001396,8.631615628,1106.969388,7.96245575,0.347461374,23.288177
Flatfield,Canon220-20251207T055158Z-3-001,150.tif,254.5757141,9.580638408,695.4559826,7.96685791,0.321406653,28.707582
Flatfield,Canon220-20251207T055158Z-3-001,300.tif,254.5736389,9.64386248,758.8650899,7.966663361,0.323863646,29.0983
Flatfield,Canon9000-1-20251207T055209Z-3-001,150.tif,254.1845398,12.81676947,806.3094367,7.959663391,0.360199254,7.815492
Flatfield,Canon9000-1-20251207T055209Z-3-001,300.tif,254.2335014,12.38346868,843.0061118,7.95980072,0.361789085,8.523001
Flatfield,Canon9000-2-20251207T060941Z-3-001,150.tif,254.9985428,0.440815784,475.9463861,7.975131989,0.271581911,0.083511084
Flatfield,Canon9000-2-20251207T060941Z-3-001,300.tif,254.9987526,0.419037915,468.2829348,7.975067139,0.271681294,0.105258755
Flatfield,EpsonV370-1-20251207T062124Z-3-001,150.tif,254.7366333,3.392654677,606.2242747,7.878421783,0.752894046,2.7864814
Flatfield,EpsonV370-1-20251207T062124Z-3-001,300.tif,254.7506752,2.924142787,607.0798005,7.875648499,0.797354496,2.0354612
Flatfield,EpsonV370-2-20251207T062127Z-3-001,150.tif,254.7454147,3.298372762,584.7840342,7.900367737,0.663872343,2.418901
Flatfield,EpsonV370-2-20251207T062127Z-3-001,300.tif,254.7801666,2.509849557,529.0486935,7.90209198,0.684260536,1.154172
Flatfield,EpsonV39-1-20251207T060941Z-3-001,150.tif,254.9978714,0.106991543,303.27242,7.968090057,0.316900615,0.007452793
Flatfield,EpsonV39-1-20251207T060941Z-3-001,300.tif,254.9952278,0.172440365,331.9813423,7.957080841,0.372100385,0.018840268
Flatfield,EpsonV39-2-20251207T060948Z-3-001,150.tif,254.9404411,0.421454812,402.9310114,7.82384491,0.873620194,0.06400884
Flatfield,EpsonV39-2-20251207T060948Z-3-001,300.tif,254.9055176,0.498463595,446.8159242,7.614009857,1.222117286,0.11889735
Flatfield,EpsonV550-20251207T062153Z-3-001,150.tif,254.8821106,1.231867301,362.8806671,7.927829742,0.503078941,0.026847964
Flatfield,EpsonV550-20251207T062153Z-3-001,300.tif,254.8789024,1.253429679,383.4204553,7.92395401,0.530937635,0.03942832
Flatfield,HP-20251207T062211Z-3-001,150.tif,253.7019997,0.532367247,457.8444245,6.831230164,2.481555253,0.17219305
Flatfield,HP-20251207T062211Z-3-001,300.tif,252.3388405,0.664342467,504.7438928,6.479251862,2.828813602,0.25019875
Official,Canon120-1,s1_10.tif,247.7055244,30.74420713,7965.178648,6.924114227,1.842896763,169.49022
Official,Canon120-1,s1_11.tif,247.5876503,31.87648468,9885.289271,7.016712189,1.715375087,409.67398
Official,Canon120-1,s1_12.tif,251.5639725,21.2071105,6732.556677,6.804077148,1.986668407,163.52977
Official,Canon120-1,s1_13.tif,249.4750786,27.36129273,8566.752145,6.874576569,1.916210931,292.99408
Official,Canon120-1,s1_15.tif,248.6379166,26.67582499,9839.829318,6.744968414,2.106406026,277.6167
Official,Canon120-1,s1_16.tif,250.250206,24.50852857,8361.280964,6.885234833,1.875340026,242.07004
Official,Canon120-1,s1_17.tif,253.1131783,16.09942197,6251.780078,7.125816345,1.542328691,109.63527
Official,Canon120-1,s1_18.tif,250.0460091,26.65321625,9806.775493,6.813678741,2.057042628,274.03143
Official,Canon120-1,s1_2.tif,244.609066,34.75449291,13120.21526,6.523048401,2.446428227,564.3841
Official,Canon120-1,s1_20.tif,246.9901428,31.88984057,10663.41047,6.49055481,2.613093385,396.5472
Official,Canon120-1,s1_21.tif,252.6283684,18.15595063,6457.55724,7.107234955,1.5556742,153.47151
Official,Canon120-1,s1_22.tif,253.0353355,16.53828147,5661.585731,7.07950592,1.597177373,101.74082
