,precision,recall,f1-score,support
0,0.7,0.525,0.6,40.0
1,0.6444444444444445,0.725,0.6823529411764706,40.0
2,0.717391304347826,0.825,0.7674418604651163,40.0
3,0.6590909090909091,0.725,0.6904761904761905,40.0
4,0.7142857142857143,0.625,0.6666666666666666,40.0
5,0.925,0.925,0.925,40.0
6,1.0,1.0,1.0,40.0
accuracy,0.7642857142857142,0.7642857142857142,0.7642857142857142,0.7642857142857142
macro avg,0.7657446245955564,0.7642857142857143,0.7617053798263491,280.0
weighted avg,0.7657446245955563,0.7642857142857142,0.7617053798263491,280.0
