feature,importance
lbp_2,0.11675785786655636
lbp_0,0.10438947876447818
lbp_11,0.08585589610972152
lbp_9,0.06531967957804785
std,0.046042993773150666
lbp_8,0.03899388850828733
lbp_3,0.03850945551565229
lbp_15,0.03566941892440336
lbp_7,0.03207878354510341
lbp_4,0.03140360881204876
lbp_16,0.0303891489342296
lbp_5,0.030189635750474925
lbp_10,0.02243371011488514
wavelet_2,0.021677539617818063
fft_band_0,0.021661698685580003
fft_band_2,0.021203202719199475
lbp_12,0.02020283279753078
lbp_17,0.019631829297295317
wavelet_1,0.01882694285199269
lbp_13,0.01824081501300683
kurt,0.017913337158348558
lbp_6,0.014251267918117134
lbp_1,0.013706461336028753
wavelet_3,0.013548235227523039
wavelet_4,0.013477615670493694
wavelet_0,0.013440998224447146
lbp_14,0.012358215063300109
fft_band_3,0.011719268905353141
wavelet_5,0.01152559441420328
skew,0.010034880542306897
p5,0.00987596583647441
entropy,0.009829569628670409
p95,0.009735102074219525
fft_band_4,0.009567967039969044
fft_band_1,0.00940993686454037
mad,0.0001271669165419109
mean,0.0
