scanner,original,processed,noise
flatfield,raw\flatfield\Flatfield\Canon120-1\150.tif,processed/images/flatfield__150.png,processed/noise_maps/flatfield__150_noise.png
flatfield,raw\flatfield\Flatfield\Canon120-1\300.tif,processed/images/flatfield__300.png,processed/noise_maps/flatfield__300_noise.png
flatfield,raw\flatfield\Flatfield\Canon120-2\150.tif,processed/images/flatfield__150.png,processed/noise_maps/flatfield__150_noise.png
flatfield,raw\flatfield\Flatfield\Canon120-2\300.tif,processed/images/flatfield__300.png,processed/noise_maps/flatfield__300_noise.png
flatfield,raw\flatfield\Flatfield\Canon220\150.tif,processed/images/flatfield__150.png,processed/noise_maps/flatfield__150_noise.png
flatfield,raw\flatfield\Flatfield\Canon220\300.tif,processed/images/flatfield__300.png,processed/noise_maps/flatfield__300_noise.png
flatfield,raw\flatfield\Flatfield\Canon9000-1\150.tif,processed/images/flatfield__150.png,processed/noise_maps/flatfield__150_noise.png
flatfield,raw\flatfield\Flatfield\Canon9000-1\300.tif,processed/images/flatfield__300.png,processed/noise_maps/flatfield__300_noise.png
flatfield,raw\flatfield\Flatfield\Canon9000-2\150.tif,processed/images/flatfield__150.png,processed/noise_maps/flatfield__150_noise.png
flatfield,raw\flatfield\Flatfield\Canon9000-2\300.tif,processed/images/flatfield__300.png,processed/noise_maps/flatfield__300_noise.png
flatfield,raw\flatfield\Flatfield\EpsonV370-1\150.tif,processed/images/flatfield__150.png,processed/noise_maps/flatfield__150_noise.png
flatfield,raw\flatfield\Flatfield\EpsonV370-1\300.tif,processed/images/flatfield__300.png,processed/noise_maps/flatfield__300_noise.png
flatfield,raw\flatfield\Flatfield\EpsonV370-2\150.tif,processed/images/flatfield__150.png,processed/noise_maps/flatfield__150_noise.png
flatfield,raw\flatfield\Flatfield\EpsonV370-2\300.tif,processed/images/flatfield__300.png,processed/noise_maps/flatfield__300_noise.png
flatfield,raw\flatfield\Flatfield\EpsonV39-1\150.tif,processed/images/flatfield__150.png,processed/noise_maps/flatfield__150_noise.png
flatfield,raw\flatfield\Flatfield\EpsonV39-1\300.tif,processed/images/flatfield__300.png,processed/noise_maps/flatfield__300_noise.png
flatfield,raw\flatfield\Flatfield\EpsonV39-2\150.tif,processed/images/flatfield__150.png,processed/noise_maps/flatfield__150_noise.png
flatfield,raw\flatfield\Flatfield\EpsonV39-2\300.tif,processed/images/flatfield__300.png,processed/noise_maps/flatfield__300_noise.png
flatfield,raw\flatfield\Flatfield\EpsonV550\150.tif,processed/images/flatfield__150.png,processed/noise_maps/flatfield__150_noise.png
flatfield,raw\flatfield\Flatfield\EpsonV550\300.tif,processed/images/flatfield__300.png,processed/noise_maps/flatfield__300_noise.png
flatfield,raw\flatfield\Flatfield\HP\150.tif,processed/images/flatfield__150.png,processed/noise_maps/flatfield__150_noise.png
flatfield,raw\flatfield\Flatfield\HP\300.tif,processed/images/flatfield__300.png,processed/noise_maps/flatfield__300_noise.png
official_scans,raw\official_scans\Official_01\Canon120-1\300\s1_59.tif,processed/images/official_scans__s1_59.png,processed/noise_maps/official_scans__s1_59_noise.png
official_scans,raw\official_scans\Official_01\Canon120-1\300\s1_81.tif,processed/images/official_scans__s1_81.png,processed/noise_maps/official_scans__s1_81_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\150\s2_10.tif,processed/images/official_scans__s2_10.png,processed/noise_maps/official_scans__s2_10_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\150\s2_12.tif,processed/images/official_scans__s2_12.png,processed/noise_maps/official_scans__s2_12_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\150\s2_13.tif,processed/images/official_scans__s2_13.png,processed/noise_maps/official_scans__s2_13_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\150\s2_18.tif,processed/images/official_scans__s2_18.png,processed/noise_maps/official_scans__s2_18_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\150\s2_2.tif,processed/images/official_scans__s2_2.png,processed/noise_maps/official_scans__s2_2_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\150\s2_26.tif,processed/images/official_scans__s2_26.png,processed/noise_maps/official_scans__s2_26_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\150\s2_33.tif,processed/images/official_scans__s2_33.png,processed/noise_maps/official_scans__s2_33_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\150\s2_42.tif,processed/images/official_scans__s2_42.png,processed/noise_maps/official_scans__s2_42_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\150\s2_45.tif,processed/images/official_scans__s2_45.png,processed/noise_maps/official_scans__s2_45_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\150\s2_46.tif,processed/images/official_scans__s2_46.png,processed/noise_maps/official_scans__s2_46_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\150\s2_47.tif,processed/images/official_scans__s2_47.png,processed/noise_maps/official_scans__s2_47_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\150\s2_54.tif,processed/images/official_scans__s2_54.png,processed/noise_maps/official_scans__s2_54_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\150\s2_55.tif,processed/images/official_scans__s2_55.png,processed/noise_maps/official_scans__s2_55_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\150\s2_57.tif,processed/images/official_scans__s2_57.png,processed/noise_maps/official_scans__s2_57_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\150\s2_75.tif,processed/images/official_scans__s2_75.png,processed/noise_maps/official_scans__s2_75_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\150\s2_76.tif,processed/images/official_scans__s2_76.png,processed/noise_maps/official_scans__s2_76_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\150\s2_77.tif,processed/images/official_scans__s2_77.png,processed/noise_maps/official_scans__s2_77_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\150\s2_8.tif,processed/images/official_scans__s2_8.png,processed/noise_maps/official_scans__s2_8_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\150\s2_89.tif,processed/images/official_scans__s2_89.png,processed/noise_maps/official_scans__s2_89_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\150\s2_90.tif,processed/images/official_scans__s2_90.png,processed/noise_maps/official_scans__s2_90_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\150\s2_91.tif,processed/images/official_scans__s2_91.png,processed/noise_maps/official_scans__s2_91_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\150\s2_99.tif,processed/images/official_scans__s2_99.png,processed/noise_maps/official_scans__s2_99_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\300\s2_33.tif,processed/images/official_scans__s2_33.png,processed/noise_maps/official_scans__s2_33_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\300\s2_46.tif,processed/images/official_scans__s2_46.png,processed/noise_maps/official_scans__s2_46_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\300\s2_47.tif,processed/images/official_scans__s2_47.png,processed/noise_maps/official_scans__s2_47_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\300\s2_67.tif,processed/images/official_scans__s2_67.png,processed/noise_maps/official_scans__s2_67_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\300\s2_85.tif,processed/images/official_scans__s2_85.png,processed/noise_maps/official_scans__s2_85_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\300\s2_89.tif,processed/images/official_scans__s2_89.png,processed/noise_maps/official_scans__s2_89_noise.png
official_scans,raw\official_scans\Official_01\Canon120-2\300\s2_96.tif,processed/images/official_scans__s2_96.png,processed/noise_maps/official_scans__s2_96_noise.png
official_scans,raw\official_scans\Official_01\Canon220\150\s3_1.tif,processed/images/official_scans__s3_1.png,processed/noise_maps/official_scans__s3_1_noise.png
official_scans,raw\official_scans\Official_01\Canon220\150\s3_10.tif,processed/images/official_scans__s3_10.png,processed/noise_maps/official_scans__s3_10_noise.png
official_scans,raw\official_scans\Official_01\Canon220\150\s3_100.tif,processed/images/official_scans__s3_100.png,processed/noise_maps/official_scans__s3_100_noise.png
official_scans,raw\official_scans\Official_01\Canon220\150\s3_11.tif,processed/images/official_scans__s3_11.png,processed/noise_maps/official_scans__s3_11_noise.png
official_scans,raw\official_scans\Official_01\Canon220\150\s3_12.tif,processed/images/official_scans__s3_12.png,processed/noise_maps/official_scans__s3_12_noise.png
official_scans,raw\official_scans\Official_01\Canon220\150\s3_13.tif,processed/images/official_scans__s3_13.png,processed/noise_maps/official_scans__s3_13_noise.png
official_scans,raw\official_scans\Official_01\Canon220\150\s3_14.tif,processed/images/official_scans__s3_14.png,processed/noise_maps/official_scans__s3_14_noise.png
official_scans,raw\official_scans\Official_01\Canon220\150\s3_15.tif,processed/images/official_scans__s3_15.png,processed/noise_maps/official_scans__s3_15_noise.png
official_scans,raw\official_scans\Official_01\Canon220\150\s3_16.tif,processed/images/official_scans__s3_16.png,processed/noise_maps/official_scans__s3_16_noise.png
